Document ID	activity	bodypart	dayId	dayName	lastUpdated	planId	thumbnailId	thumbnailUrl	type	videoId	videoUrl
10011090_18687781_2023_bc001.mp4	"Press de banca - Barra"	"Pecho, Tríceps, Hombros parte delantera"	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082263"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082263.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A36Z&se=2035-03-26T22%3A14%3A36Z&spr=https&sig=fLkutjsPwJhAd+tNSL8ol9A5i9TQbNZtwz2L9E7tTCo="	"strength"	"2023_bc001.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_bc001.mp4"
10011090_18687781_2023_cm005.mp4	"Cinta de correr 8 km/h ~ 5 mph"	"Sistema cardiovascular, Piernas"	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082247"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082247.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A39Z&se=2035-03-26T22%3A14%3A39Z&spr=https&sig=rB/2V+uJQHltT5hYMQWtsc6whtw7QRqQCpJJSnGF3Tk="	"cardio"	"2023_cm005.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_cm005.mp4"
10011090_18687781_2023_cw003.mp4	"Jumping jacks"	"Sistema cardiovascular, Cuerpo completo"	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082253"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082253.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A38Z&se=2035-03-26T22%3A14%3A38Z&spr=https&sig=QgcPeEPGmumKJFU/87SQRlAxscPFYPdy/+wqI37vg3E="	"cardio"	"2023_cw003.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_cw003.mp4"
10011090_18687781_2023_gt001.mp4	"Extension de codo - Polea"	"Tríceps "	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082251"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082251.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A38Z&se=2035-03-26T22%3A14%3A38Z&spr=https&sig=sdxfUjQ8A7auoO3O+f74IEIRIPdbrYFEUe9NK6wYf+A="	"strength"	"2023_gt001.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_gt001.mp4"
10011090_18687781_2023_herman032.mp4	"Extension de codo de pie - Mancuerna"	"Tríceps "	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082249"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082249.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A38Z&se=2035-03-26T22%3A14%3A38Z&spr=https&sig=61XDTmG9FeUhjlTiDvbcgp/ve9KDozvv1P0ZFZxWJOg="	"strength"	"2023_herman032.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_herman032.mp4"
10011090_18687781_2023_id0106.mp4	"Sentadilla multipower Máquina de Smith"	"Cuádriceps, Glúteos, Piernas, Zona lumbar"	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082257"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082257.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A37Z&se=2035-03-26T22%3A14%3A37Z&spr=https&sig=S4yOA5lXPv3wm3L5PBeRSQgLCJtgpSDG03PZwQn03pM="	"strength"	"2023_id0106.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_id0106.mp4"
10011090_18687781_2023_id1315.mp4	"Burpee con salto"	"Abdominales - Abdominales rectos, Cuádriceps, Glúteos, Corvas"	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082260"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082260.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A37Z&se=2035-03-26T22%3A14%3A37Z&spr=https&sig=fi3F/2GL1vQAhHzVoowFKhLS8Z4P7gbcdbv9vWjTwSM="	"strength"	"2023_id1315.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_id1315.mp4"
10011090_18687781_2023_oa031.mp4	"Curl martillo"	"Bíceps "	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082250"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082250.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A38Z&se=2035-03-26T22%3A14%3A38Z&spr=https&sig=Kv8t5RN64LPb6Sv84JX2fL9DzzevF93LV2Su4+MbT/c="	"strength"	"2023_oa031.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_oa031.mp4"
10011090_18687781_2023_oa041.mp4	"Curl de bíceps - Polea"	"Bíceps "	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082252"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082252.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A38Z&se=2035-03-26T22%3A14%3A38Z&spr=https&sig=XaT/FjAupKMtJm4o/u+ifOz/R4AGIgFbcOirAH/boLE="	"strength"	"2023_oa041.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_oa041.mp4"
10011090_18687781_2023_oa057.mp4	"Prensa a 45 grados"	"Cuádriceps, Glúteos, Piernas"	"18687781"	"día 1"	27 mars 2025 à 13:47:45 UTC+1	"10011090"	"3167082259"	"https://sagafit.blob.core.windows.net/sagathumbnails/10011090/d%C3%ADa%201/images/3167082259.png?sv=2020-08-04&sr=b&sp=r&st=2025-03-26T23%3A14%3A37Z&se=2035-03-26T22%3A14%3A37Z&spr=https&sig=OzaKV46EL/MILZs35GjVXihRiwR0eBV4PI6vGcOgBXY="	"strength"	"2023_oa057.mp4"	"https://sagafit.blob.core.windows.net/sagafitvideos/10011090/día 1/2023_oa057.mp4"
